,city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms,no_of_guests
0,Orlando,"Sonesta ES Suites Orlando - International Drive, Orlando",HOTEL,129,3.5,859.0,4.4,"1 room, 3 adults",1,3
1,Orlando,"CoCo Key Hotel and Water Resort-Orlando, Orlando",HOTEL,65,3.0,1845.0,3.2,"1 room, 3 adults",1,3
2,Orlando,"The Grand Orlando Resort at Celebration, Kissimmee",HOTEL,62,3.5,2946.0,3.4,"1 room, 3 adults",1,3
3,Orlando,"Holiday Inn & Suites Across From Universal Orlando, Orlando",HOTEL,79,3.0,873.0,3.9,"1 room, 3 adults",1,3
4,Orlando,"Howard Johnson by Wyndham Tropical Palms Kissimmee, Kissimmee",HOTEL,30,2.0,1423.0,2.9,"1 room, 3 adults",1,3
5,Orlando,"Baymont by Wyndham Kissimmee, Kissimmee",HOTEL,59,2.5,433.0,3.0,"1 room, 3 adults",1,3
6,Orlando,"Holiday Inn Orlando International Airport, Orlando",HOTEL,88,3.0,412.0,3.6,"1 room, 3 adults",1,3
7,Orlando,"Clarion Inn Lake Buena Vista, a Rosen Hotel, Orlando",HOTEL,150,3.0,1417.0,4.0,"1 room, 3 adults",1,3
8,Orlando,"Days Inn & Suites by Wyndham Altamonte Springs, Altamonte Springs",HOTEL,71,2.0,523.0,2.6,"1 room, 3 adults",1,3
9,Orlando,"Delta Hotels by Marriott Orlando Lake Buena Vista, Orlando",HOTEL,79,4.0,815.0,4.3,"1 room, 3 adults",1,3
10,Orlando,"Hyatt Regency Orlando International Airport, Orlando",HOTEL,199,4.0,1763.0,4.5,"1 room, 3 adults",1,3
11,Orlando,"Seralago Hotel & Suites Main Gate East, Kissimmee",HOTEL,55,3.0,3195.0,3.1,"1 room, 3 adults",1,3
12,Orlando,"Best Western Orlando East Inn & Suites, Orlando",HOTEL,89,2.5,563.0,3.7,"1 room, 3 adults",1,3
13,Orlando,"Bryan's Spanish Cove by Diamond Resorts, Orlando",HOTEL,148,3.0,336.0,4.5,"1 room, 3 adults",1,3
14,Orlando,"Renaissance Orlando Airport Hotel by Marriott, Orlando",HOTEL,118,4.0,468.0,4.3,"1 room, 3 adults",1,3
15,Orlando,"The Villas of Grand Cypress, Orlando",HOTEL,223,4.5,241.0,4.8,"1 room, 3 adults",1,3
16,Orlando,"Days Inn by Wyndham N Orlando/Casselberry, Fern Park",HOTEL,85,2.0,190.0,2.6,"1 room, 3 adults",1,3
